Data,Cultivo,Estadual,País,Id,Último,Abertura,Máxima,Mínima,USD,Precipitacao,Temperatura,lag_Estadual,predict_Estadual,model
2004-03-01,Milho,16.9936,17.5722,1,32025.0,32500.0,34200.0,30300.0,2.9054565217391306,175.4,24.9,16.9936,,ARIMA
2004-04-01,Milho,19.8861,19.4868,1,29975.0,32125.0,32650.0,28175.0,2.9059850000000003,175.4,24.5,16.9936,,ARIMA
2004-05-01,Milho,19.7989,20.2459,1,26250.0,30500.0,32250.0,26000.0,3.100419047619048,23.0,21.7,19.8861,,ARIMA
2004-06-01,Milho,17.9299,19.0091,1,22550.0,26250.0,26425.0,22500.0,3.1291476190476186,18.8,22.1,19.7989,,ARIMA
2004-07-01,Milho,16.494,17.7122,1,23775.0,22550.0,24525.0,22500.0,3.0367772727272726,38.0,22.2,17.9299,,ARIMA
2004-08-01,Milho,15.4836,16.9135,1,21625.0,23700.0,24500.0,21500.0,3.0029136363636364,18.4,24.2,16.494,,ARIMA
2004-09-01,Milho,15.6349,16.9779,1,21300.0,21600.0,22000.0,20850.0,2.891147619047619,42.0,25.4,15.4836,,ARIMA
2004-10-01,Milho,14.8292,16.4078,1,20375.0,21250.0,21900.0,20350.0,2.852855,132.0,25.4,15.6349,,ARIMA
2004-11-01,Milho,14.6861,15.7828,1,21300.0,20400.0,21625.0,20100.0,2.78604,225.6,24.6,14.8292,,ARIMA
2005-01-01,Milho,14.1072,15.6819,1,20450.0,21150.0,21725.0,20275.0,2.7181608695652173,173.8,24.5,14.6861,,ARIMA
2005-02-01,Milho,14.0984,15.9089,1,22275.0,20475.0,22500.0,20175.0,2.6930238095238095,153.8,24.1,14.1072,,ARIMA
2005-03-01,Milho,16.5363,17.1538,1,22100.0,22075.0,23800.0,21175.0,2.597838888888889,287.4,24.5,14.0984,,ARIMA
2005-04-01,Milho,17.2959,17.9389,1,21350.0,22150.0,22375.0,21125.0,2.7047363636363637,287.4,24.5,16.5363,,ARIMA
2005-05-01,Milho,16.8212,17.6276,1,23075.0,21425.0,23600.0,20300.0,2.57918,287.4,25.5,17.2959,,ARIMA
2005-06-01,Milho,16.7059,17.2608,1,22225.0,22925.0,24700.0,21900.0,2.452814285714286,287.4,25.5,16.8212,,ARIMA
2005-07-01,Milho,16.6482,17.1637,1,24825.0,22200.0,27300.0,22200.0,2.4135136363636365,287.4,25.5,16.7059,,ARIMA
2005-08-01,Milho,15.6681,16.9286,1,21650.0,25000.0,25150.0,21500.0,2.3735095238095236,287.4,25.5,16.6482,,ARIMA
2005-09-01,Milho,15.4079,16.5083,1,21775.0,21650.0,22275.0,20650.0,2.3606304347826086,287.4,25.5,15.6681,,ARIMA
2005-10-01,Milho,14.0168,15.6303,1,21025.0,21775.0,22200.0,21000.0,2.2944095238095237,287.4,25.5,15.4079,,ARIMA
2005-11-01,Milho,12.4779,14.5057,1,20175.0,21000.0,21325.0,20025.0,2.25645,287.4,25.5,14.0168,,ARIMA
2005-12-01,Milho,12.1618,14.0307,1,22500.0,20225.0,22700.0,19950.0,2.2108350000000003,287.4,25.5,12.4779,,ARIMA
2006-01-01,Milho,12.5146,14.6381,1,22900.0,22450.0,23175.0,21350.0,2.285481818181818,287.4,25.5,12.1618,,ARIMA
2006-02-01,Milho,13.2029,14.7255,1,23875.0,22825.0,23975.0,22550.0,2.273868181818182,287.4,25.5,12.5146,,ARIMA
2006-03-01,Milho,11.37,13.5052,1,24725.0,23775.0,25300.0,22575.0,2.161922222222222,287.4,25.5,13.2029,,ARIMA
2006-04-01,Milho,10.8654,12.5684,1,24900.0,24650.0,25525.0,24025.0,2.1519608695652175,287.4,25.5,11.37,,ARIMA
2006-05-01,Milho,12.2447,13.4234,1,26250.0,24850.0,27500.0,23550.0,2.1292888888888886,287.4,25.5,10.8654,,ARIMA
2006-06-01,Milho,13.1832,14.5282,1,24600.0,26200.0,27150.0,23225.0,2.1781,287.4,25.5,12.2447,,ARIMA
2006-07-01,Milho,13.0267,14.4429,1,25600.0,25000.0,27575.0,24775.0,2.2482904761904763,287.4,25.5,13.1832,,ARIMA
2006-08-01,Milho,12.5458,13.9055,1,24800.0,25675.0,26600.0,23350.0,2.1892809523809524,287.4,25.5,13.0267,,ARIMA
2006-09-01,Milho,12.7518,14.2029,1,27525.0,24775.0,28050.0,23600.0,2.155882608695652,287.4,25.5,12.5458,,ARIMA
2006-10-01,Milho,13.9077,15.6378,1,33475.0,27625.0,34625.0,27550.0,2.168745,287.4,25.5,12.7518,,ARIMA
2006-11-01,Milho,16.19,17.2678,1,39050.0,33450.0,39350.0,33450.0,2.1482809523809525,287.4,24.6,13.9077,,ARIMA
2006-12-01,Milho,17.7272,18.4387,1,39850.0,38975.0,40000.0,36200.0,2.1579,111.2,25.4,16.19,,ARIMA
2007-01-01,Milho,18.082,18.7148,1,41575.0,39750.0,43075.0,36250.0,2.14992,236.6,24.2,17.7272,,ARIMA
2007-02-01,Milho,17.3042,18.3271,1,43550.0,41550.0,45025.0,40350.0,2.1384772727272727,212.4,24.6,18.082,,ARIMA
2007-03-01,Milho,17.0687,17.8629,1,38550.0,43650.0,43975.0,38550.0,2.09625,212.4,24.1,17.3042,,ARIMA
2007-04-01,Milho,15.2791,16.9172,1,36750.0,36800.0,39700.0,35500.0,2.0886772727272724,288.6,24.9,17.0687,,ARIMA
2007-05-01,Milho,14.8115,16.5113,1,39150.0,37350.0,40100.0,35200.0,2.032035,60.0,24.9,15.2791,,ARIMA
2007-06-01,Milho,14.8261,16.4762,1,34000.0,39100.0,43600.0,33350.0,1.9816136363636365,46.4,22.4,14.8115,,ARIMA
2007-07-01,Milho,14.7401,16.5621,1,34225.0,34025.0,36225.0,32450.0,1.93187,0.0,23.3,14.8261,,ARIMA
2007-08-01,Milho,16.67,17.8768,1,34000.0,34300.0,37200.0,32650.0,1.8828181818181817,14.0,23.1,14.7401,,ARIMA
2007-09-01,Milho,20.1652,20.7785,1,38925.0,34250.0,40475.0,33550.0,1.9660130434782608,0.0,24.1,16.67,,ARIMA
2007-10-01,Milho,19.9582,21.5522,1,39275.0,38900.0,39675.0,35200.0,1.899578947368421,4.0,26.6,20.1652,,ARIMA
2007-11-01,Milho,22.1265,23.4263,1,40150.0,39225.0,41100.0,38350.0,1.8010409090909092,64.2,25.3,19.9582,,ARIMA
2007-12-01,Milho,24.958,26.2748,1,46675.0,40100.0,46825.0,39975.0,1.769925,31.6,24.6,22.1265,,ARIMA
2008-01-01,Milho,22.8141,25.3667,1,51325.0,46675.0,53100.0,46675.0,1.7859850000000002,17.6,24.2,24.958,,ARIMA
2008-02-01,Milho,21.369,24.0938,1,55650.0,51400.0,55975.0,50325.0,1.774259090909091,78.6,23.5,22.8141,,ARIMA
2008-03-01,Milho,20.5016,23.9886,1,58200.0,55600.0,60075.0,51500.0,1.727742105263158,120.2,23.9,21.369,,ARIMA
2008-04-01,Milho,20.1802,23.6833,1,61225.0,58200.0,62875.0,57450.0,1.70758,260.6,24.0,20.5016,,ARIMA
2008-05-01,Milho,20.6083,23.6389,1,61250.0,61400.0,63900.0,58400.0,1.6889285714285716,18.2,23.5,20.1802,,ARIMA
2008-06-01,Milho,19.8328,23.2034,1,73775.0,61075.0,77900.0,60900.0,1.660535,18.2,22.2,20.6083,,ARIMA
2008-07-01,Milho,21.9783,24.1958,1,60750.0,73300.0,76350.0,56275.0,1.618857142857143,0.0,21.8,19.8328,,ARIMA
2008-08-01,Milho,19.0385,21.897,1,58500.0,60900.0,62875.0,50450.0,1.5914130434782607,0.0,23.9,21.9783,,ARIMA
2008-09-01,Milho,18.1071,20.784,1,50650.0,57600.0,59800.0,50475.0,1.6123142857142858,0.2,26.0,19.0385,,ARIMA
2008-10-01,Milho,17.3362,19.6559,1,41925.0,51250.0,51900.0,38000.0,1.7995681818181817,4.6,25.3,18.1071,,ARIMA
2008-11-01,Milho,16.1966,18.309,1,36575.0,41575.0,43950.0,35225.0,2.1728521739130433,4.6,25.3,17.3362,,ARIMA
2008-12-01,Milho,15.5461,18.2336,1,41775.0,36625.0,43350.0,30550.0,2.26629,66.4,25.4,16.1966,,ARIMA
2009-01-01,Milho,17.1725,20.34,1,39025.0,41350.0,43950.0,36975.0,2.3944136363636366,66.4,24.3,15.5461,,ARIMA
2009-02-01,Milho,17.8894,20.5914,1,35900.0,39000.0,39300.0,35050.0,2.307442857142857,34.8,24.7,17.1725,,ARIMA
2009-03-01,Milho,16.6296,18.9405,1,41475.0,35725.0,41600.0,34450.0,2.3126722222222225,56.0,24.3,17.8894,,ARIMA
2009-04-01,Milho,16.6743,18.4493,1,40350.0,41150.0,41750.0,37000.0,2.313836363636364,11.8,24.0,16.6296,,ARIMA
2009-05-01,Milho,17.5791,19.1964,1,44625.0,40150.0,44675.0,39650.0,2.20585,11.8,24.0,16.6743,,ARIMA
2009-06-01,Milho,17.4812,19.4185,1,35450.0,44400.0,46000.0,35450.0,2.060905,11.8,24.0,17.5791,,ARIMA
2009-07-01,Milho,15.9637,18.3305,1,34950.0,35150.0,36100.0,31475.0,1.9575571428571428,11.8,24.0,17.4812,,ARIMA
2009-08-01,Milho,15.0692,17.5795,1,32975.0,35300.0,37600.0,31150.0,1.9327521739130433,11.8,24.0,15.9637,,ARIMA
2009-09-01,Milho,14.7685,16.8317,1,35675.0,32825.0,36125.0,30200.0,1.8451809523809526,11.8,24.0,15.0692,,ARIMA
2009-10-01,Milho,15.0612,16.5923,1,37925.0,35425.0,42450.0,34075.0,1.819795238095238,11.8,24.0,14.7685,,ARIMA
2009-11-01,Milho,15.6123,17.1188,1,41750.0,37500.0,42500.0,37250.0,1.7384190476190475,11.8,24.0,15.0612,,ARIMA
2009-12-01,Milho,15.0431,16.7627,1,42425.0,41525.0,42900.0,37900.0,1.7261600000000001,11.8,24.0,15.6123,,ARIMA
2010-01-01,Milho,14.7924,16.549,1,36775.0,42475.0,43600.0,36625.0,1.7503136363636365,11.8,24.0,15.0431,,ARIMA
2010-02-01,Milho,14.4733,15.666,1,38900.0,36700.0,39100.0,35900.0,1.7798200000000002,11.8,24.0,14.7924,,ARIMA
2010-03-01,Milho,14.0562,15.3541,1,35650.0,38900.0,39200.0,35500.0,1.8416333333333332,11.8,24.0,14.4733,,ARIMA
