Data,Cultivo,Estadual,País,Id,Último,Abertura,Máxima,Mínima,USD,Precipitacao,Temperatura,lag_Estadual,predict_Estadual,model
2004-03-01,Trigo,25.0014,24.2907,2,38150.0,40825.0,42400.0,36600.0,2.9054565217391306,175.4,24.9,25.0014,,ARIMA
2004-04-01,Trigo,27.3438,26.4508,2,36200.0,38050.0,40700.0,35400.0,2.9059850000000003,175.4,24.5,25.0014,,ARIMA
2004-05-01,Trigo,29.6849,28.6268,2,33800.0,36500.0,39100.0,0.0,3.100419047619048,23.0,21.7,27.3438,,ARIMA
2004-06-01,Trigo,30.2614,29.9106,2,31225.0,33525.0,34800.0,31000.0,3.1291476190476186,18.8,22.1,29.6849,,ARIMA
2004-07-01,Trigo,27.5388,27.7931,2,30975.0,31075.0,32400.0,29550.0,3.0367772727272726,38.0,22.2,30.2614,,ARIMA
2004-08-01,Trigo,25.1131,25.2621,2,30675.0,31025.0,34150.0,30250.0,3.0029136363636364,18.4,24.2,27.5388,,ARIMA
2004-09-01,Trigo,23.1538,23.5285,2,31650.0,30750.0,32600.0,29700.0,2.891147619047619,42.0,25.4,25.1131,,ARIMA
2004-10-01,Trigo,21.4716,21.7538,2,28975.0,31650.0,32050.0,28600.0,2.852855,132.0,25.4,23.1538,,ARIMA
2004-11-01,Trigo,21.13,20.918,2,30750.0,28950.0,31175.0,28250.0,2.78604,225.6,24.6,21.4716,,ARIMA
2005-01-01,Trigo,19.7586,29.8062,2,29100.0,30750.0,31200.0,28750.0,2.7181608695652173,173.8,24.5,21.13,,ARIMA
2005-02-01,Trigo,19.8338,19.6098,2,33725.0,29125.0,33750.0,28700.0,2.6930238095238095,153.8,24.1,19.7586,,ARIMA
2005-03-01,Trigo,21.7657,21.3199,2,33100.0,33300.0,37000.0,32300.0,2.597838888888889,287.4,24.5,19.8338,,ARIMA
2005-04-01,Trigo,23.725,23.5505,2,31800.0,33150.0,33250.0,30150.0,2.7047363636363637,287.4,24.5,21.7657,,ARIMA
