Data;Estadual;País;Id;Cultivo
8/2024;74,3887;70,6659;2;Trigo
7/2024;74,2311;70,3762;2;Trigo
6/2024;74,1798;69,6117;2;Trigo
5/2024;68,0659;65,2951;2;Trigo
4/2024;62,7740;61,7935;2;Trigo
3/2024;62,4906;61,4674;2;Trigo
2/2024;64,3794;62,9513;2;Trigo
1/2024;65,0128;63,4706;2;Trigo
12/2023;65,5408;64,1894;2;Trigo
11/2023;63,5847;60,8118;2;Trigo
10/2023;50,9543;51,5039;2;Trigo
9/2023;52,5232;56,6561;2;Trigo
8/2023;64,1405;65,1631;2;Trigo
7/2023;66,1583;66,4136;2;Trigo
6/2023;66,1334;65,6799;2;Trigo
5/2023;69,9096;68,9449;2;Trigo
4/2023;81,1515;78,0305;2;Trigo
3/2023;87,8728;81,5804;2;Trigo
2/2023;88,7906;81,5483;2;Trigo
1/2023;91,8808;82,9182;2;Trigo
12/2022;94,5878;87,1659;2;Trigo
11/2022;99,1789;93,7574;2;Trigo
10/2022;92,4780;93,3682;2;Trigo
9/2022;97,3042;95,0926;2;Trigo
8/2022;109,4980;105,5665;2;Trigo
7/2022;108,9586;112,1541;2;Trigo
6/2022;104,9986;109,4711;2;Trigo
5/2022;96,7208;103,0121;2;Trigo
4/2022;94,1273;94,4438;2;Trigo
3/2022;95,6921;95,7739;2;Trigo
2/2022;89,0057;86,4528;2;Trigo
1/2022;88,7126;85,5290;2;Trigo
12/2021;87,9916;84,3193;2;Trigo
11/2021;87,4379;84,0226;2;Trigo
10/2021;87,3113;82,8280;2;Trigo
9/2021;87,0757;82,3831;2;Trigo
8/2021;86,2675;82,3377;2;Trigo
7/2021;78,7582;78,1871;2;Trigo
6/2021;80,3345;81,0717;2;Trigo
5/2021;86,8749;84,4425;2;Trigo
4/2021;84,5177;81,4105;2;Trigo
3/2021;77,8716;78,5283;2;Trigo
2/2021;75,0924;76,0532;2;Trigo
1/2021;69,7542;72,0194;2;Trigo
12/2020;69,5309;70,0093;2;Trigo
11/2020;75,3144;77,1260;2;Trigo
10/2020;65,6995;66,6685;2;Trigo
9/2020;59,8474;58,5133;2;Trigo
8/2020;56,9863;56,1960;2;Trigo
7/2020;56,9056;55,3368;2;Trigo
6/2020;58,4137;53,5523;2;Trigo
5/2020;58,5592;51,7760;2;Trigo
4/2020;55,6659;48,4257;2;Trigo
3/2020;51,6895;46,6197;2;Trigo
2/2020;49,2542;44,8690;2;Trigo
1/2020;47,8641;42,2629;2;Trigo
12/2019;47,2077;41,2625;2;Trigo
11/2019;45,3791;39,8819;2;Trigo
10/2019;45,1586;40,4704;2;Trigo
9/2019;46,2410;42,5980;2;Trigo
8/2019;45,9317;42,3947;2;Trigo
7/2019;45,7953;42,0593;2;Trigo
6/2019;45,7368;41,7015;2;Trigo
5/2019;45,9271;42,1082;2;Trigo
4/2019;46,5432;42,7675;2;Trigo
3/2019;48,3579;42,9078;2;Trigo
2/2019;47,7089;42,4324;2;Trigo
1/2019;46,2317;41,6471;2;Trigo
12/2018;44,7561;40,8337;2;Trigo
11/2018;42,8224;39,3789;2;Trigo
10/2018;43,1175;41,3037;2;Trigo
9/2018;46,5675;43,2511;2;Trigo
8/2018;47,3779;42,7050;2;Trigo
7/2018;48,7581;42,8898;2;Trigo
6/2018;45,4030;42,2471;2;Trigo
5/2018;40,5298;39,1258;2;Trigo
4/2018;36,7180;35,1015;2;Trigo
3/2018;34,5527;31,7180;2;Trigo
2/2018;33,9062;30,9855;2;Trigo
1/2018;33,9666;31,1018;2;Trigo
12/2017;33,5301;31,1481;2;Trigo
11/2017;32,8023;31,0995;2;Trigo
10/2017;32,1369;30,9463;2;Trigo
9/2017;33,7082;31,7363;2;Trigo
8/2017;35,7295;32,8520;2;Trigo
7/2017;33,8016;32,0929;2;Trigo
6/2017;31,7836;30,8765;2;Trigo
5/2017;31,3774;29,7605;2;Trigo
4/2017;31,4359;29,2245;2;Trigo
3/2017;31,5987;29,1481;2;Trigo
2/2017;32,2156;29,2203;2;Trigo
1/2017;33,5658;29,8658;2;Trigo
12/2016;33,9643;30,6594;2;Trigo
11/2016;34,5125;32,0119;2;Trigo
10/2016;35,8311;34,9649;2;Trigo
9/2016;39,9654;39,4358;2;Trigo
8/2016;44,5027;41,4788;2;Trigo
7/2016;44,9694;41,7124;2;Trigo
6/2016;43,5107;40,8723;2;Trigo
5/2016;40,9903;38,0361;2;Trigo
4/2016;40,4390;35,8960;2;Trigo
3/2016;39,2511;35,4753;2;Trigo
2/2016;38,9171;35,2207;2;Trigo
1/2016;37,3083;34,5886;2;Trigo
12/2015;37,4172;34,1096;2;Trigo
11/2015;37,3196;34,1128;2;Trigo
10/2015;35,6614;33,4012;2;Trigo
9/2015;33,4668;31,7091;2;Trigo
8/2015;33,4194;30,7555;2;Trigo
7/2015;33,2447;30,0001;2;Trigo
6/2015;34,2779;30,6499;2;Trigo
5/2015;34,6861;31,1876;2;Trigo
4/2015;33,3788;29,8062;2;Trigo
3/2015;30,6610;27,2576;2;Trigo
2/2015;30,3178;27,1047;2;Trigo
1/2015;29,8312;26,8039;2;Trigo
12/2014;29,2544;26,3823;2;Trigo
11/2014;28,7614;26,4960;2;Trigo
10/2014;29,1400;26,3908;2;Trigo
9/2014;30,4003;27,2721;2;Trigo
8/2014;33,8615;29,8610;2;Trigo
7/2014;39,5198;32,6889;2;Trigo
6/2014;41,7259;35,1700;2;Trigo
5/2014;42,4292;37,2031;2;Trigo
4/2014;42,0808;37,7067;2;Trigo
3/2014;41,2780;36,1956;2;Trigo
2/2014;40,9621;35,8524;2;Trigo
1/2014;40,6463;36,3143;2;Trigo
12/2013;41,3505;37,2155;2;Trigo
11/2013;45,5584;39,6744;2;Trigo
10/2013;48,8494;42,2760;2;Trigo
9/2013;47,7963;40,9662;2;Trigo
8/2013;43,3972;37,5558;2;Trigo
7/2013;40,4711;34,8240;2;Trigo
6/2013;38,1862;33,0811;2;Trigo
5/2013;37,6902;32,8711;2;Trigo
4/2013;38,4152;33,0338;2;Trigo
3/2013;38,7132;33,3206;2;Trigo
2/2013;39,3903;33,9056;2;Trigo
1/2013;37,5510;33,6915;2;Trigo
12/2012;35,1434;31,9886;2;Trigo
11/2012;33,3821;30,8531;2;Trigo
10/2012;33,3202;29,9562;2;Trigo
9/2012;32,9749;29,6547;2;Trigo
8/2012;29,6355;27,3990;2;Trigo
7/2012;26,5591;25,5137;2;Trigo
6/2012;25,6422;24,7683;2;Trigo
5/2012;25,4763;24,5897;2;Trigo
4/2012;24,7953;24,2367;2;Trigo
3/2012;23,5059;23,6598;2;Trigo
2/2012;23,2083;23,3978;2;Trigo
1/2012;23,1623;23,7452;2;Trigo
12/2011;23,4553;24,2025;2;Trigo
11/2011;24,1117;24,4758;2;Trigo
10/2011;25,0235;24,5836;2;Trigo
9/2011;25,4586;24,7707;2;Trigo
8/2011;25,6539;24,8768;2;Trigo
7/2011;26,1445;25,0912;2;Trigo
6/2011;26,1815;25,0852;2;Trigo
5/2011;26,3192;25,1147;2;Trigo
4/2011;26,1004;25,1295;2;Trigo
3/2011;25,7831;24,9246;2;Trigo
2/2011;25,0807;24,2616;2;Trigo
1/2011;24,6605;23,2554;2;Trigo
12/2010;24,6183;22,9813;2;Trigo
11/2010;24,6273;23,0686;2;Trigo
10/2010;25,1475;23,2075;2;Trigo
9/2010;24,5482;23,0483;2;Trigo
8/2010;22,6422;21,7269;2;Trigo
7/2010;22,2438;21,4527;2;Trigo
6/2010;22,8797;22,1547;2;Trigo
5/2010;23,0865;22,3685;2;Trigo
4/2010;23,1070;22,6891;2;Trigo
3/2010;23,3776;22,8055;2;Trigo
2/2010;23,8321;22,8075;2;Trigo
1/2010;23,9401;22,7939;2;Trigo
12/2009;24,5043;22,9490;2;Trigo
11/2009;24,6114;23,0539;2;Trigo
10/2009;24,7264;23,1498;2;Trigo
9/2009;25,1052;23,2474;2;Trigo
8/2009;26,6711;23,8881;2;Trigo
7/2009;27,5695;24,9274;2;Trigo
6/2009;27,6162;25,7528;2;Trigo
5/2009;28,0892;25,7935;2;Trigo
4/2009;28,5274;25,9271;2;Trigo
3/2009;28,9078;26,4593;2;Trigo
2/2009;28,1562;26,2436;2;Trigo
1/2009;25,9154;25,1793;2;Trigo
12/2008;25,3386;24,9014;2;Trigo
11/2008;25,8941;25,5165;2;Trigo
10/2008;26,5879;26,3521;2;Trigo
9/2008;27,8274;27,4751;2;Trigo
8/2008;31,1112;30,9817;2;Trigo
7/2008;37,4942;35,5802;2;Trigo
6/2008;40,0923;37,3855;2;Trigo
5/2008;40,9765;38,0383;2;Trigo
4/2008;40,6300;37,4967;2;Trigo
3/2008;37,1877;33,5497;2;Trigo
2/2008;34,3233;30,6824;2;Trigo
1/2008;32,2331;29,3955;2;Trigo
12/2007;29,8957;28,1459;2;Trigo
11/2007;30,8974;29,0514;2;Trigo
10/2007;33,1528;31,2934;2;Trigo
9/2007;34,5788;31,6803;2;Trigo
8/2007;29,4841;28,5694;2;Trigo
7/2007;26,0312;26,4344;2;Trigo
6/2007;25,5605;25,7342;2;Trigo
5/2007;25,3248;25,3132;2;Trigo
4/2007;24,5731;24,7929;2;Trigo
3/2007;24,6049;24,7924;2;Trigo
2/2007;25,6567;25,7140;2;Trigo
1/2007;26,3222;25,6600;2;Trigo
12/2006;27,0968;26,4608;2;Trigo
11/2006;27,7368;27,1247;2;Trigo
10/2006;25,2274;24,7131;2;Trigo
9/2006;21,5096;21,1447;2;Trigo
8/2006;20,3418;19,9842;2;Trigo
7/2006;19,7616;19,5215;2;Trigo
6/2006;19,4544;19,2374;2;Trigo
5/2006;19,2374;18,8643;2;Trigo
4/2006;19,1458;18,7601;2;Trigo
3/2006;19,3392;19,0142;2;Trigo
2/2006;19,9834;19,4356;2;Trigo
1/2006;19,9826;19,3671;2;Trigo
12/2005;19,6643;19,0341;2;Trigo
11/2005;18,4225;18,1115;2;Trigo
10/2005;18,3795;17,9340;2;Trigo
9/2005;19,1291;18,8616;2;Trigo
8/2005;20,2686;19,9715;2;Trigo
7/2005;20,2797;20,3684;2;Trigo
6/2005;20,9355;21,0932;2;Trigo
5/2005;23,4427;23,2918;2;Trigo
4/2005;23,7250;23,5505;2;Trigo
