Data;Cultivo;Estadual;País;Id;Último;Abertura;Máxima;Mínima;;;
01/04/2025;Algodão;1.327.512;1.353.695;3;7324.0;6963.0;7454.0;6752.0;;;
01/03/2025;Algodão;1.313.123;1.348.268;3;6999.0;6888.0;7135.0;6626.0;;;
01/02/2025;Algodão;1.296.656;1.335.577;3;6899.0;7205.0;7308.0;6750.0;;;
01/01/2025;Algodão;1.310.995;1.325.764;3;7269.0;7510.0;7584.0;7000.0;;;
01/12/2024;Algodão;1.296.229;1.309.426;3;7511.0;7762.0;7945.0;7375.0;;;
01/11/2024;Algodão;1.232.581;1.275.368;3;7726.0;8791.0;8925.0;7750.0;;;
01/10/2024;Algodão;1.243.429;1.285.278;3;8728.0;9788.0;9855.0;8537.0;;;
01/09/2024;Algodão;1.241.603;1.291.096;3;9777.0;8708.0;10268.0;8670.0;;;
01/08/2024;Algodão;1.263.239;1.316.584;3;8713.0;8258.0;8765.0;8157.0;;;
01/07/2024;Algodão;1.279.005;132.34;3;8283.0;8057.0;8369.0;7935.0;;;
01/06/2024;Algodão;1.229.271;1.277.055;3;8070.0;8450.0;8450.0;7891.0;;;
01/05/2024;Algodão;1.210.131;1.277.394;3;8456.0;8807.0;8979.0;8453.0;;;
01/04/2024;Algodão;125.664;1.310.436;3;8792.0;8782.0;9029.0;8529.0;;;
01/03/2024;Algodão;133.652;1.352.243;3;8773.0;8480.0;8855.0;8342.0;;;
01/02/2024;Algodão;1.277.769;1.311.154;3;8475.0;8031.0;8830.0;7912.0;;;
01/01/2024;Algodão;1.236.487;1.276.128;3;8037.0;7971.0;8249.0;7681.0;;;
01/12/2023;Algodão;1.220.356;1.273.394;3;7947.0;8285.0;8430.0;7845.0;;;
01/11/2023;Algodão;1.214.768;1.286.497;3;8175.0;8211.0;8377.0;8020.0;;;
01/10/2023;Algodão;1.262.074;1.319.478;3;8336.0;8481.0;8667.0;7827.0;;;
01/09/2023;Algodão;1.268.067;1.312.302;3;8446.0;8741.0;8837.0;8170.0;;;
01/08/2023;Algodão;1.273.375;1.313.944;3;8746.0;8340.0;8959.0;8040.0;;;
01/07/2023;Algodão;1.199.369;1.285.786;3;8338.0;8400.0;8793.0;7871.0;;;
01/06/2023;Algodão;126.589;1.352.837;3;8403.0;7185.0;8857.0;7185.0;;;
01/05/2023;Algodão;1.238.685;1.359.509;3;7185.0;8310.0;8878.0;7040.0;;;
01/04/2023;Algodão;1.396.951;1.484.217;3;8345.0;11000.0;11009.0;8196.0;;;
01/03/2023;Algodão;1.565.947;1.619.688;3;11014.0;9291.0;11649.0;8924.0;;;
01/02/2023;Algodão;1.678.927;1.717.488;3;9351.0;9884.0;9900.0;7894.0;;;
01/01/2023;Algodão;1.706.063;1.723.117;3;9884.0;12245.0;12600.0;9120.0;;;
01/12/2022;Algodão;1.699.158;1.689.903;3;12245.0;13052.0;13575.0;12135.0;;;
01/11/2022;Algodão;1.662.698;1.651.792;3;12866.0;11665.0;13205.0;11655.0;;;
01/10/2022;Algodão;1.683.429;1.730.863;3;11753.0;11582.0;12047.0;10334.0;;;
01/09/2022;Algodão;2.007.876;2.008.798;3;11582.0;11966.0;12255.0;11321.0;;;
01/08/2022;Algodão;2.011.839;2.014.695;3;11966.0;10888.0;12040.0;10836.0;;;
01/07/2022;Algodão;1.962.262;2.029.606;3;10788.0;10460.0;10896.0;10037.0;;;
01/06/2022;Algodão;2.468.092;2.454.188;3;10461.0;10989.0;11667.0;10461.0;;;
01/05/2022;Algodão;2.561.154;2.503.256;3;10967.0;10388.0;11161.0;10038.0;;;
01/04/2022;Algodão;232.758;2.317.971;3;10388.0;9172.0;10420.0;8836.0;;;
01/03/2022;Algodão;2.262.972;2.245.094;3;9177.0;8950.0;9539.0;8870.0;;;
01/02/2022;Algodão;2.259.577;2.233.996;3;8907.0;8505.0;9045.0;8492.0;;;
01/01/2022;Algodão;2.191.342;2.149.149;3;8490.0;8341.0;8850.0;8332.0;;;
01/12/2021;Algodão;2.057.892;203.017;3;8332.0;8787.0;8873.0;8099.0;;;
01/11/2021;Algodão;1.958.246;1.925.094;3;8647.0;8085.0;8815.0;7856.0;;;
01/10/2021;Algodão;1.898.088;1.852.907;3;8070.0;9025.0;9370.0;7868.0;;;
01/09/2021;Algodão;1.710.659;1.719.873;3;8971.0;8272.0;9622.0;8201.0;;;
01/08/2021;Algodão;1.681.278;1.685.199;3;8278.0;7944.0;8468.0;7944.0;;;
01/07/2021;Algodão;1.594.907;1.613.341;3;7917.0;7305.0;7946.0;7197.0;;;
01/06/2021;Algodão;1.582.963;1.620.723;3;7305.0;7041.0;7508.0;6971.0;;;
01/05/2021;Algodão;1.664.338;1.680.332;3;7058.0;6659.0;7377.0;6571.0;;;
