Data Medicao;PRECIPITACAO TOTAL;TEMPERATURA MEDIA
31/03/2004;null;24,9
30/04/2004;175,4;24,5
31/05/2004;23;21,7
30/06/2004;18,8;22,1
31/07/2004;38;22,2
31/08/2004;18,4;24,2
30/09/2004;42;25,4
31/10/2004;132;25,4
30/11/2004;225,6;24,6
31/12/2004;173,8;24,5
31/01/2005;153,8;24,1
28/02/2005;null;24,5
31/03/2005;null;24,5
30/04/2005;null;null
31/05/2005;null;null
30/06/2005;null;null
31/07/2005;null;null
31/08/2005;null;null
30/09/2005;null;null
31/10/2005;null;null
30/11/2005;null;null
31/12/2005;null;null
31/01/2006;null;null
28/02/2006;null;null
31/03/2006;null;null
30/04/2006;null;null
31/05/2006;null;null
30/06/2006;null;null
31/07/2006;null;null
31/08/2006;null;null
30/09/2006;null;25,5
31/10/2006;287,4;24,6
30/11/2006;111,2;25,4
31/12/2006;236,6;24,2
31/01/2007;212,4;24,6
28/02/2007;212,4;24,1
31/03/2007;288,6;24,9
30/04/2007;60;24,9
31/05/2007;46,4;22,4
30/06/2007;0;23,3
31/07/2007;14;23,1
31/08/2007;0;24,1
30/09/2007;4;26,6
31/10/2007;64,2;25,3
30/11/2007;31,6;24,6
31/12/2007;17,6;24,2
31/01/2008;78,6;23,5
29/02/2008;120,2;23,9
31/03/2008;260,6;24
30/04/2008;null;23,5
31/05/2008;18,2;22,2
30/06/2008;0;21,8
31/07/2008;0;23,9
31/08/2008;0,2;26
30/09/2008;null;null
31/10/2008;4,6;25,3
30/11/2008;null;25,4
31/12/2008;66,4;24,3
31/01/2009;34,8;24,7
28/02/2009;56;24,3
31/03/2009;null;null
30/04/2009;null;null
31/05/2009;null;null
30/06/2009;null;null
31/07/2009;null;null
31/08/2009;null;null
30/09/2009;null;null
31/10/2009;null;null
30/11/2009;null;null
31/12/2009;null;null
31/01/2010;null;null
28/02/2010;null;null
31/03/2010;null;null
30/04/2010;null;null
31/05/2010;null;null
30/06/2010;null;24
31/07/2010;11,8;22
31/08/2010;4,8;24,1
30/09/2010;2,8;27,8
31/10/2010;9,8;25,8
30/11/2010;null;24,2
31/12/2010;null;null
31/01/2011;null;null
28/02/2011;null;23,7
31/03/2011;236;24,1
30/04/2011;170,8;24,6
31/05/2011;0,4;23,2
30/06/2011;2;23,1
31/07/2011;0;23,3
31/08/2011;null;null
30/09/2011;null;null
31/10/2011;null;null
30/11/2011;null;null
31/12/2011;null;null
31/01/2012;null;null
