"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.09.2024","73,24","69,63","74,54","67,52","23,15K","4,64%"
"01.08.2024","69,99","68,88","71,35","66,26","13,17K","1,45%"
"01.07.2024","68,99","72,05","73,08","67,50","270,94K","-5,09%"
"01.06.2024","72,69","75,10","75,84","70,00","453,87K","-3,22%"
"01.05.2024","75,11","77,62","79,45","73,75","226,16K","-2,78%"
"01.04.2024","77,26","87,91","89,25","77,50","0,52K","-11,48%"
"01.03.2024","87,28","97,88","98,55","85,37","62,06K","-10,73%"
"01.02.2024","97,77","87,08","102,68","86,70","276,98K","12,21%"
"01.01.2024","87,13","82,58","87,65","81,57","132,37K","5,19%"
"01.12.2023","82,83","80,57","83,69","79,35","70,86K","2,64%"
"01.11.2023","80,70","84,50","84,50","78,91","139,38K","-4,56%"
"01.10.2023","84,56","88,07","89,79","84,53","114,91K","-3,82%"
"01.09.2023","87,92","87,82","90,29","85,29","158,73K","0,22%"
"01.08.2023","87,73","84,80","88,55","83,42","114,20K","3,52%"
"01.07.2023","84,75","80,31","88,30","79,12","168,33K","5,45%"
"01.06.2023","80,37","79,71","82,49","76,81","434,56K","1,13%"
"01.05.2023","79,47","82,85","84,30","78,45","216,07K","-2,79%"
"01.04.2023","81,75","82,11","83,77","80,20","0,02K","-1,93%"
"01.03.2023","83,36","84,81","86,67","78,27","56,14K","-1,30%"
"01.02.2023","84,46","87,41","88,37","81,70","143,44K","-3,43%"
"01.01.2023","87,46","83,40","89,59","80,40","94,28K","4,89%"
"01.12.2022","83,38","84,00","87,93","78,71","68,83K","-0,77%"
"01.11.2022","84,03","71,85","88,57","71,85","115,77K","16,95%"
"01.10.2022","71,85","83,10","88,78","70,40","103,30K","-13,90%"
"01.09.2022","83,45","110,00","110,09","81,96","136,66K","-24,23%"
"01.08.2022","110,14","92,91","116,49","89,24","126,37K","17,78%"
"01.07.2022","93,51","98,84","99,00","78,94","159,16K","-5,39%"
"01.06.2022","98,84","122,45","126,00","91,20","413,17K","-19,28%"
"01.05.2022","122,45","130,52","135,75","121,35","142,29K","-4,83%"
"01.04.2022","128,66","116,65","132,05","116,55","0,18K","9,47%"
"01.03.2022","117,53","115,82","120,47","103,34","52,94K","1,48%"
"01.02.2022","115,82","119,66","122,55","113,21","100,45K","-3,21%"
"01.01.2022","119,66","108,88","120,40","108,36","70,46K","10,92%"
"01.12.2021","107,88","104,60","108,96","100,37","63,42K","3,13%"
"01.11.2021","104,61","109,89","116,67","104,61","98,12K","-4,61%"
"01.10.2021","109,67","103,88","111,61","100,38","109,91K","5,57%"
"01.09.2021","103,88","91,72","104,20","88,36","150,93K","13,20%"
"01.08.2021","91,77","89,50","95,39","88,70","103,49K","3,03%"
"01.07.2021","89,07","85,05","90,45","84,92","134,47K","4,91%"
"01.06.2021","84,90","83,41","88,50","83,32","370,97K","1,90%"
"01.05.2021","83,32","87,87","88,73","80,99","141,74K","-3,64%"
"01.04.2021","86,47","80,85","88,15","78,56","0,10K","7,15%"
"01.03.2021","80,70","90,25","93,70","78,68","73,42K","-10,04%"
"01.02.2021","89,71","82,72","96,22","82,01","187,29K","8,37%"
"01.01.2021","82,78","79,44","84,68","79,44","80,72K","4,56%"
"01.12.2020","79,17","73,05","79,46","71,97","58,67K","8,38%"
"01.11.2020","73,05","70,41","75,08","69,71","82,55K","3,50%"
"01.10.2020","70,58","66,59","73,77","65,71","69,13K","6,07%"
"01.09.2020","66,54","66,06","67,79","64,48","92,17K","0,74%"
"01.08.2020","66,05","63,30","67,22","62,90","90,82K","4,43%"
"01.07.2020","63,25","61,00","65,05","60,26","138,29K","3,89%"
"01.06.2020","60,88","57,48","61,14","57,16","327,63K","5,92%"
"01.05.2020","57,48","56,71","59,59","56,20","137,09K","-2,11%"
"01.04.2020","58,72","52,00","58,90","51,00","0,08K","10,36%"
"01.03.2020","53,21","62,22","65,75","52,92","65,47K","-14,55%"
"01.02.2020","62,27","69,01","71,02","60,96","171,18K","-10,00%"
"01.01.2020","69,19","71,23","74,00","69,09","75,72K","-2,48%"
"01.12.2019","70,95","66,40","71,60","65,12","61,56K","6,87%"
"01.11.2019","66,39","67,01","68,14","64,88","101,10K","-0,72%"
"01.10.2019","66,87","61,50","67,80","60,89","75,03K","8,64%"
"01.09.2019","61,55","59,35","63,73","58,39","115,07K","3,55%"
"01.08.2019","59,44","64,75","64,90","57,65","114,84K","-8,10%"
"01.07.2019","64,68","67,21","68,35","62,81","161,94K","-2,12%"
"01.06.2019","66,08","66,80","68,25","64,70","389,42K","-1,48%"
"01.05.2019","67,07","75,23","75,23","65,25","184,97K","-11,37%"
"01.04.2019","75,67","77,61","78,95","75,23","0,11K","-0,41%"
"01.03.2019","75,98","73,86","76,48","73,76","41,01K","2,69%"
"01.02.2019","73,99","76,90","77,16","72,33","127,01K","-3,78%"
"01.01.2019","76,90","74,61","77,37","73,49","67,38K","3,04%"
"01.12.2018","74,63","80,99","82,79","74,09","57,35K","-6,65%"
"01.11.2018","79,95","79,64","83,21","78,44","84,15K","0,58%"
"01.10.2018","79,49","77,25","82,51","76,50","67,34K","2,85%"
"01.09.2018","77,29","83,01","84,22","77,22","92,95K","-6,41%"
"01.08.2018","82,58","89,29","89,84","80,92","107,24K","-7,73%"
"01.07.2018","89,50","84,44","89,74","81,75","128,16K","6,65%"
"01.06.2018","83,92","91,62","94,82","82,94","503,05K","-8,42%"
"01.05.2018","91,64","81,35","93,73","79,56","259,82K","13,95%"
"01.04.2018","80,42","80,21","82,00","78,93","0,12K","1,50%"
"01.03.2018","79,23","83,08","85,83","78,53","55,00K","-4,87%"
"01.02.2018","83,29","79,01","83,36","77,46","151,14K","5,36%"
"01.01.2018","79,05","79,19","84,75","77,95","87,43K","-0,24%"
"01.12.2017","79,24","73,42","79,50","72,94","48,83K","7,84%"
"01.11.2017","73,48","69,77","74,01","69,14","103,53K","5,85%"
"01.10.2017","69,42","68,03","70,40","66,78","49,33K","2,42%"
"01.09.2017","67,78","70,07","74,20","67,30","119,26K","-3,32%"
"01.08.2017","70,11","68,19","70,83","66,50","105,96K","2,73%"
"01.07.2017","68,25","68,59","69,15","65,94","114,94K","-0,50%"
"01.06.2017","68,59","72,62","73,70","66,15","380,24K","-5,77%"
"01.05.2017","72,79","76,03","76,51","72,15","197,72K","-4,21%"
"01.04.2017","75,99","75,05","76,55","72,43","0,22K","1,85%"
"01.03.2017","74,61","77,64","80,27","74,16","53,23K","-3,70%"
"01.02.2017","77,48","76,24","79,27","75,99","93,35K","1,73%"
"01.01.2017","76,16","71,99","76,33","71,86","54,89K","6,70%"
"01.12.2016","71,38","72,06","72,55","70,10","34,80K","-0,94%"
"01.11.2016","72,06","69,68","73,32","68,90","70,36K","3,16%"
"01.10.2016","69,85","68,41","72,32","67,45","37,81K","1,91%"
"01.09.2016","68,54","65,90","72,42","65,85","67,85K","3,83%"
"01.08.2016","66,01","73,87","78,00","65,90","80,37K","-10,69%"
"01.07.2016","73,91","64,55","74,84","64,25","132,93K","15,18%"
"01.06.2016","64,17","63,55","66,64","62,60","442,47K","0,98%"
"01.05.2016","63,55","64,03","65,04","60,10","127,21K","0,14%"
"01.04.2016","63,46","58,37","64,22","58,37","0,18K","9,39%"
"01.03.2016","58,01","56,45","57,81","55,58","42,15K","3,11%"
"01.02.2016","56,26","61,93","63,00","54,33","111,80K","-9,16%"
"01.01.2016","61,93","64,83","64,92","61,77","43,52K","-4,41%"
"01.12.2015","64,79","63,66","66,31","63,57","31,64K","2,14%"
"01.11.2015","63,43","63,09","64,70","62,25","42,29K","-0,27%"
"01.10.2015","63,60","60,16","64,79","59,81","37,99K","5,46%"
"01.09.2015","60,31","62,41","63,93","59,45","67,00K","-3,63%"
"01.08.2015","62,58","63,86","66,50","61,19","77,55K","-2,52%"
"01.07.2015","64,20","67,68","68,11","63,23","138,30K","-5,46%"
"01.06.2015","67,91","64,89","67,99","63,16","410,38K","5,06%"
"01.05.2015","64,64","66,60","66,85","63,95","114,95K","-3,28%"
"01.04.2015","66,83","63,66","66,85","62,90","0,36K","4,45%"
"01.03.2015","63,98","65,23","65,47","61,67","24,90K","-1,90%"
"01.02.2015","65,22","60,81","66,54","60,46","69,07K","7,18%"
"01.01.2015","60,85","61,98","62,61","58,87","34,49K","-1,85%"
"01.12.2014","62,00","60,75","63,94","59,83","24,35K","1,72%"
"01.11.2014","60,95","63,64","64,48","59,36","39,94K","-4,47%"
"01.10.2014","63,80","60,50","64,42","59,65","46,04K","5,54%"
"01.09.2014","60,45","66,70","67,79","60,28","108,12K","-9,79%"
"01.08.2014","67,01","63,51","68,00","62,70","62,97K","5,51%"
"01.07.2014","63,51","73,50","73,70","63,26","119,38K","-13,60%"
"01.06.2014","73,51","77,28","78,74","73,30","303,33K","-5,11%"
"01.05.2014","77,47","83,60","85,00","77,00","80,00K","-7,59%"
"01.04.2014","83,83","80,85","83,89","80,50","0,07K","-10,36%"
"01.03.2014","93,52","87,80","97,35","86,65","198,66K","8,00%"
"01.02.2014","86,59","85,83","89,31","84,65","199,38K","0,89%"
