Data;Cultivo;Estadual;País;Id;Último;Abertura;Máxima;Mínima
2024-09-01;Soja;123.7153;123.6574;0;1.06888;1.00012;1.06962;99500.0
2024-08-01;Soja;117.5516;119.2007;0;98200.0;1.03;1.045;93625.0
2024-07-01;Soja;120.0369;121.7345;0;1.0285;1.14825;1.1915;1.0205
2024-06-01;Soja;118.9727;121.3981;0;1.1505;1.20425;1.2055;1.14625
2024-05-01;Soja;114.0022;118.2335;0;1.2035;1.161;1.2565;1.15625
2024-04-01;Soja;108.1828;113.1347;0;1.163;1.20925;1.21575;1.14575
2024-03-01;Soja;103.2496;106.5652;0;1.20525;1.139;1.24;1.13725
2024-02-01;Soja;97.6436;105.3475;0;1.12825;1.22125;1.22175;1.115
2024-01-01;Soja;107.7371;116.9254;0;1.23275;1.2905;1.29075;1.199
2023-12-01;Soja;122.9548;130.4195;0;1.2935;1.342;1.344;1.292
2023-11-01;Soja;121.2374;130.5401;0;1.34275;1.31188;1.39838;1.3045
2023-10-01;Soja;119.6291;128.0043;0;1.3105;1.27188;1.33088;1.25075
2023-09-01;Soja;119.2491;130.9774;0;1.275;1.362;1.374;1.2725
2023-08-01;Soja;117.4026;130.7555;0;1.36875;1.333;1.40938;1.2825
2023-07-01;Soja;110.8743;126.516;0;1.33175;1.34375;1.43488;1.31562
2023-06-01;Soja;107.7732;119.3202;0;1.442;1.2165;1.45325;1.216
2023-05-01;Soja;112.0696;122.0503;0;1.29975;1.41888;1.4465;1.27062
2023-04-01;Soja;125.2306;135.929;0;1.41925;1.50988;1.5315;1.3965
2023-03-01;Soja;140.0883;151.7918;0;1.5055;1.4915;1.55;1.405
2023-02-01;Soja;146.9514;159.6227;0;1.4795;1.53738;1.55538;1.478
2023-01-01;Soja;153.8375;164.8989;0;1.538;1.52438;1.54838;1.465
2022-12-01;Soja;161.2294;167.8738;0;1.524;1.472;1.5375;1.43175
2022-11-01;Soja;166.4214;170.1859;0;1.4695;1.417;1.4785;1.40675
2022-10-01;Soja;160.1337;167.2148;0;1.4195;1.36238;1.424;1.35
2022-09-01;Soja;160.6848;169.2618;0;1.36475;1.51125;1.55825;1.36325
2022-08-01;Soja;160.7707;170.1701;0;1.4225;1.47725;1.48438;1.356
2022-07-01;Soja;162.7612;173.1207;0;1.4685;1.56388;1.57325;1.3145
2022-06-01;Soja;167.0821;177.164;0;1.5605;1.68688;1.78362;1.50412
2022-05-01;Soja;169.6312;179.881;0;1.687;1.68412;1.74938;1.578
2022-04-01;Soja;163.8339;175.3033;0;1.68475;1.6;1.734;1.5605
2022-03-01;Soja;179.2949;191.9989;0;1.61825;1.64525;1.73625;1.6135
2022-02-01;Soja;172.8668;183.7549;0;1.64425;1.48962;1.75888;1.485
2022-01-01;Soja;157.6591;168.3471;0;1.4905;1.34088;1.49675;1.34062
2021-12-01;Soja;147.7805;158.5404;0;1.32875;1.222;1.37575;1.21625
2021-11-01;Soja;150.7073;156.2219;0;1.21725;1.24838;1.28912;1.18162
2021-10-01;Soja;159.1253;160.0081;0;1.23575;1.255;1.2625;1.1845
2021-09-01;Soja;163.2808;159.3011;0;1.257;1.294;1.308;1.24912
2021-08-01;Soja;164.3178;158.4395;0;1.2935;1.35012;1.37975;1.27762
2021-07-01;Soja;153.2396;151.7851;0;1.34838;1.4025;1.42288;1.30062
2021-06-01;Soja;149.7397;152.1141;0;1.3935;1.54362;1.623;1.26825
2021-05-01;Soja;162.8333;164.071;0;1.5285;1.54775;1.66712;1.48975
2021-04-01;Soja;160.8866;163.2929;0;1.53562;1.44725;1.57475;1.3785
2021-03-01;Soja;156.5591;158.7933;0;1.43675;1.41525;1.45988;1.36425
2021-02-01;Soja;150.3854;154.5318;0;1.40788;1.3765;1.44575;1.33812
2021-01-01;Soja;147.6618;148.7721;0;1.36438;1.31025;1.43625;1.29825
2020-12-01;Soja;147.9145;140.9301;0;1.31025;1.16962;1.3206;1.14262
2020-11-01;Soja;169.1946;157.3982;0;1.16875;1.06025;1.19962;1.04162
2020-10-01;Soja;156.7972;147.4121;0;1.05688;1.02338;1.09388;1.013
2020-09-01;Soja;130.8449;128.3004;0;1.02175;95062.0;1.0465;94288.0
2020-08-01;Soja;117.0222;113.3375;0;95250.0;89175.0;96688.0;86538.0
2020-07-01;Soja;104.0607;102.9306;0;89725.0;88375.0;90975.0;87062.0
2020-06-01;Soja;95.6078;95.8284;0;88300.0;84400.0;89100.0;83412.0
2020-05-01;Soja;95.629;94.7799;0;84050.0;85488.0;86112.0;82862.0
2020-04-01;Soja;87.6745;87.712;0;85550.0;88575.0;88688.0;80838.0
2020-03-01;Soja;79.889;81.8793;0;88550.0;89188.0;91225.0;82112.0
2020-02-01;Soja;73.4461;76.6416;0;89312.0;87112.0;90200.0;86888.0
2020-01-01;Soja;74.7031;77.4824;0;87262.0;94350.0;95450.0;87238.0
2019-12-01;Soja;77.6578;78.6838;0;94350.0;87662.0;94350.0;86762.0
2019-11-01;Soja;76.914;78.0108;0;87662.0;93100.0;94212.0;87612.0
2019-10-01;Soja;74.5128;76.9515;0;93175.0;90412.0;94538.0;90338.0
2019-09-01;Soja;73.7361;75.7721;0;90425.0;86638.0;90662.0;85112.0
2019-08-01;Soja;69.4429;71.631;0;86825.0;88075.0;89662.0;85262.0
2019-07-01;Soja;63.9699;68.4306;0;88025.0;91512.0;93638.0;87462.0
2019-06-01;Soja;65.2316;70.1475;0;88188.0;87612.0;92300.0;84838.0
2019-05-01;Soja;63.1625;66.1616;0;87825.0;85362.0;89262.0;79138.0
2019-04-01;Soja;63.8157;67.6829;0;85450.0;88388.0;90712.0;85138.0
2019-03-01;Soja;64.1039;69.1283;0;88388.0;91000.0;92438.0;88312.0
2019-02-01;Soja;62.3846;67.5871;0;91000.0;91575.0;93438.0;89312.0
2019-01-01;Soja;62.2195;69.278;0;91575.0;89400.0;92762.0;89112.0
2018-12-01;Soja;66.0011;72.1574;0;89400.0;91925.0;92800.0;86700.0
2018-11-01;Soja;67.3536;74.0273;0;89325.0;85025.0;90075.0;84575.0
2018-10-01;Soja;71.9475;77.8646;0;85150.0;84500.0;89200.0;84000.0
2018-09-01;Soja;74.5567;79.5278;0;84425.0;84550.0;85925.0;81225.0
2018-08-01;Soja;71.6202;75.8643;0;84550.0;90750.0;90750.0;82900.0
2018-07-01;Soja;69.9632;73.8362;0;90750.0;86525.0;91150.0;81075.0
2018-06-01;Soja;71.6051;72.0655;0;86275.0;1.02;1.0265;84250.0
2018-05-01;Soja;70.7859;74.3269;0;1.0195;1.049;1.0555;99250.0
2018-04-01;Soja;67.7963;72.2781;0;1.0485;1.046;1.0675;98350.0
2018-03-01;Soja;62.9935;67.2818;0;1.04475;1.055;1.0825;1.00925
2018-02-01;Soja;58.9275;62.4139;0;1.055;99675.0;1.0595;96775.0
2018-01-01;Soja;57.5758;61.9512;0;99675.0;96750.0;1.00475;94450.0
2017-12-01;Soja;59.0193;63.3514;0;96250.0;98688.0;1.01488;94662.0
2017-11-01;Soja;58.8494;62.4569;0;98562.0;98475.0;1.00762;96712.0
2017-10-01;Soja;57.4391;60.4003;0;98462.0;96738.0;1.00312;95262.0
2017-09-01;Soja;55.6064;58.9046;0;96688.0;94762.0;98688.0;93862.0
