Data;Cultivo;Estadual;País;Id;Último;Abertura;Máxima;Mínima
2024-09-01;Trigo;77.0124;71.5292;2;57760.0;55262.0;59862.0;54440.0
2024-08-01;Trigo;74.3887;70.6659;2;53275.0;52675.0;55200.0;49350.0
2024-07-01;Trigo;74.2311;70.3762;2;52725.0;55650.0;57300.0;51425.0
2024-06-01;Trigo;74.1798;69.6117;2;55350.0;67800.0;69775.0;53800.0
2024-05-01;Trigo;68.0659;65.2951;2;69950.0;60425.0;73925.0;59350.0
2024-04-01;Trigo;62.774;61.7935;2;58500.0;56200.0;61450.0;53425.0
2024-03-01;Trigo;62.4906;61.4674;2;57575.0;57500.0;58350.0;52350.0
2024-02-01;Trigo;64.3794;62.9513;2;57750.0;59525.0;61150.0;55525.0
2024-01-01;Trigo;65.0128;63.4706;2;60525.0;64000.0;64000.0;58525.0
2023-12-01;Trigo;65.5408;64.1894;2;62800.0;56925.0;63975.0;56925.0
2023-11-01;Trigo;63.5847;60.8118;2;59800.0;55688.0;59900.0;54100.0
2023-10-01;Trigo;50.9543;51.5039;2;55625.0;54430.0;60410.0;54110.0
2023-09-01;Trigo;52.5232;56.6561;2;54150.0;57400.0;60750.0;54000.0
2023-08-01;Trigo;64.1405;65.1631;2;60200.0;66850.0;68390.0;58640.0
2023-07-01;Trigo;66.1583;66.4136;2;66575.0;64662.0;77712.0;62200.0
2023-06-01;Trigo;66.1334;65.6799;2;65100.0;60800.0;77025.0;60700.0
2023-05-01;Trigo;69.9096;68.9449;2;59425.0;63380.0;66850.0;57325.0
2023-04-01;Trigo;81.1515;78.0305;2;63375.0;69838.0;71012.0;62425.0
2023-03-01;Trigo;87.8728;81.5804;2;69225.0;69125.0;72400.0;65400.0
2023-02-01;Trigo;88.7906;81.5483;2;70550.0;76070.0;79740.0;70250.0
2023-01-01;Trigo;91.8808;82.9182;2;76125.0;79200.0;79450.0;71250.0
2022-12-01;Trigo;94.5878;87.1659;2;79200.0;76750.0;79900.0;70250.0
2022-11-01;Trigo;99.1789;93.7574;2;79550.0;87950.0;90390.0;77100.0
2022-10-01;Trigo;92.478;93.3682;2;88225.0;92750.0;94962.0;82288.0
2022-09-01;Trigo;97.3042;95.0926;2;92150.0;80275.0;94575.0;77300.0
2022-08-01;Trigo;109.498;105.5665;2;83150.0;81412.0;84850.0;72588.0
2022-07-01;Trigo;108.9586;112.1541;2;80775.0;89025.0;94000.0;75425.0
2022-06-01;Trigo;104.9986;109.4711;2;88400.0;1.091;1.10862;88100.0
2022-05-01;Trigo;96.7208;103.0121;2;1.088;1.04525;1.2836;1.03425
