Data,Estadual,País,USD,Previsão,Cultivo,model
2004-03-01,45.38,50.05,2.91,0.00,Soja,PROPHET
2004-04-01,45.95,48.73,2.91,0.00,Soja,PROPHET
2004-05-01,44.87,47.49,3.10,0.00,Soja,PROPHET
2004-06-01,38.59,40.78,3.13,0.00,Soja,PROPHET
2004-07-01,34.08,37.55,3.04,0.00,Soja,PROPHET
2004-08-01,31.83,34.94,3.00,0.00,Soja,PROPHET
2004-09-01,31.94,35.55,2.89,0.00,Soja,PROPHET
2004-10-01,30.95,32.22,2.85,0.00,Soja,PROPHET
2004-11-01,30.00,31.94,2.79,0.00,Soja,PROPHET
2004-12-01,27.90,29.81,2.72,0.00,Soja,PROPHET
2005-01-01,24.15,27.40,2.69,0.00,Soja,PROPHET
2005-02-01,28.18,31.12,2.60,0.00,Soja,PROPHET
2005-03-01,26.41,30.22,2.70,0.00,Soja,PROPHET
2005-04-01,25.92,28.36,2.58,0.00,Soja,PROPHET
2005-05-01,25.48,29.07,2.45,0.00,Soja,PROPHET
2005-06-01,25.65,28.59,2.41,0.00,Soja,PROPHET
2005-07-01,24.03,27.88,2.37,0.00,Soja,PROPHET
2005-08-01,22.29,26.46,2.36,0.00,Soja,PROPHET
2005-09-01,21.79,25.04,2.29,0.00,Soja,PROPHET
2005-10-01,21.56,24.47,2.26,0.00,Soja,PROPHET
2005-11-01,22.64,25.39,2.21,0.00,Soja,PROPHET
2005-12-01,22.32,25.71,2.29,0.00,Soja,PROPHET
2006-01-01,19.88,24.51,2.27,0.00,Soja,PROPHET
2006-02-01,18.03,22.74,2.16,0.00,Soja,PROPHET
2006-03-01,17.38,22.01,2.15,0.00,Soja,PROPHET
2006-04-01,18.79,22.74,2.13,0.00,Soja,PROPHET
2006-05-01,20.62,23.96,2.18,0.00,Soja,PROPHET
2006-06-01,20.73,23.75,2.25,0.00,Soja,PROPHET
2006-07-01,18.85,23.37,2.19,0.00,Soja,PROPHET
2006-08-01,18.66,23.19,2.16,0.00,Soja,PROPHET
2006-09-01,20.10,24.95,2.17,0.00,Soja,PROPHET
2006-10-01,22.31,27.65,2.15,0.00,Soja,PROPHET
2006-11-01,24.61,28.39,2.16,0.00,Soja,PROPHET
2006-12-01,23.40,27.71,2.15,0.00,Soja,PROPHET
2007-01-01,24.20,28.34,2.14,0.00,Soja,PROPHET
2007-02-01,23.82,28.17,2.10,0.00,Soja,PROPHET
2007-03-01,22.19,26.71,2.09,0.00,Soja,PROPHET
2007-04-01,22.75,26.43,2.03,0.00,Soja,PROPHET
2007-05-01,23.29,27.02,1.98,0.00,Soja,PROPHET
2007-06-01,24.21,27.45,1.93,0.00,Soja,PROPHET
2007-07-01,26.49,29.65,1.88,0.00,Soja,PROPHET
2007-08-01,30.24,33.88,1.97,0.00,Soja,PROPHET
2007-09-01,31.56,35.60,1.90,0.00,Soja,PROPHET
2007-10-01,33.41,37.06,1.80,0.00,Soja,PROPHET
2007-11-01,35.13,38.97,1.77,0.00,Soja,PROPHET
2007-12-01,36.24,40.46,1.79,0.00,Soja,PROPHET
2008-01-01,40.32,43.53,1.77,0.00,Soja,PROPHET
2008-02-01,38.19,43.70,1.73,0.00,Soja,PROPHET
2008-03-01,36.78,41.36,1.71,0.00,Soja,PROPHET
2008-04-01,37.51,41.34,1.69,0.00,Soja,PROPHET
2008-05-01,41.93,44.35,1.66,0.00,Soja,PROPHET
2008-06-01,43.16,46.71,1.62,0.00,Soja,PROPHET
2008-07-01,36.60,40.75,1.59,0.00,Soja,PROPHET
2008-08-01,38.95,41.85,1.61,0.00,Soja,PROPHET
2008-09-01,37.61,41.21,1.80,0.00,Soja,PROPHET
2008-10-01,38.32,41.39,2.17,0.00,Soja,PROPHET
2008-11-01,35.71,41.06,2.27,0.00,Soja,PROPHET
2008-12-01,39.25,43.34,2.39,0.00,Soja,PROPHET
2009-01-01,37.83,44.22,2.31,0.00,Soja,PROPHET
2009-02-01,36.25,41.26,2.31,0.00,Soja,PROPHET
2009-03-01,38.95,43.65,2.31,0.00,Soja,PROPHET
2009-04-01,41.44,45.49,2.21,0.00,Soja,PROPHET
2009-05-01,41.48,45.23,2.06,0.00,Soja,PROPHET
2009-06-01,39.31,42.87,1.96,0.00,Soja,PROPHET
2009-07-01,40.78,42.99,1.93,0.00,Soja,PROPHET
2009-08-01,39.26,41.83,1.85,0.00,Soja,PROPHET
2009-09-01,37.93,41.12,1.82,0.00,Soja,PROPHET
2009-10-01,38.22,40.95,1.74,0.00,Soja,PROPHET
2009-11-01,36.15,40.49,1.73,0.00,Soja,PROPHET
2009-12-01,31.18,38.42,1.75,0.00,Soja,PROPHET
2010-01-01,27.25,34.68,1.78,0.00,Soja,PROPHET
2010-02-01,26.00,32.04,1.84,0.00,Soja,PROPHET
2010-03-01,27.27,31.63,1.79,0.00,Soja,PROPHET
2010-04-01,28.51,31.97,1.76,0.00,Soja,PROPHET
2010-05-01,29.83,32.51,1.81,0.00,Soja,PROPHET
2010-06-01,32.12,34.14,1.81,0.00,Soja,PROPHET
2010-07-01,35.27,36.85,1.77,0.00,Soja,PROPHET
2010-08-01,37.27,38.05,1.76,0.00,Soja,PROPHET
2010-09-01,39.89,39.83,1.72,0.00,Soja,PROPHET
2010-10-01,43.84,42.95,1.68,0.00,Soja,PROPHET
2010-11-01,43.92,44.16,1.71,0.00,Soja,PROPHET
2010-12-01,42.27,44.69,1.69,0.00,Soja,PROPHET
2011-01-01,40.80,44.88,1.67,0.00,Soja,PROPHET
2011-02-01,38.93,43.05,1.67,0.00,Soja,PROPHET
2011-03-01,37.00,41.60,1.66,0.00,Soja,PROPHET
2011-04-01,37.71,40.27,1.59,0.00,Soja,PROPHET
2011-05-01,38.42,40.68,1.61,0.00,Soja,PROPHET
2011-06-01,38.59,40.56,1.59,0.00,Soja,PROPHET
2011-07-01,40.05,41.34,1.56,0.00,Soja,PROPHET
2011-08-01,42.11,43.74,1.60,0.00,Soja,PROPHET
2011-09-01,40.38,42.26,1.75,0.00,Soja,PROPHET
