Data;Estadual;País
04.09.2024;566,88;563,80
03.09.2024;566,50;552,62
30.08.2024;551,50;546,75
29.08.2024;548,75;540,25
28.08.2024;541,50;534,25
27.08.2024;535,50;524,75
26.08.2024;525,00;531,25
23.08.2024;528,00;536,75
22.08.2024;535,50;545,25
21.08.2024;544,00;557,50
20.08.2024;556,50;551,00
19.08.2024;552,25;554,50
16.08.2024;552,50;549,00
15.08.2024;550,25;557,50
14.08.2024;556,25;553,00
13.08.2024;551,75;559,75
12.08.2024;559,75;565,75
09.08.2024;565,75;561,50
08.08.2024;561,50;562,00
07.08.2024;562,00;567,00
06.08.2024;566,50;564,00
05.08.2024;563,25;564,00
